miRNAName	138011N	138011T	138228N	138228T	138239N	138239T
hsa-miR-607	0	9	2	19	4	6
hsa-miR-144-3p	2887	1078	2356	2773	1358	7186
hsa-miR-4659b-5p	0	6	3	4	4	0
hsa-miR-424-3p	1249	330	565	576	941	198
hsa-miR-149-5p	450	390	209	1942	269	486
hsa-miR-654-3p	583	169	308	653	618	88
hsa-miR-4711-5p	2	1	0	4	0	1
hsa-miR-6837-5p	3	4	3	6	1	0
hsa-miR-5697	12	21	15	12	20	15
hsa-miR-6718-5p	5	4	5	5	4	3
hsa-miR-4505	3	0	3	0	1	4
hsa-miR-378e	246	231	461	116	493	928
hsa-miR-223-3p	2430	286	892	3262	1656	387
hsa-miR-4798-5p	2	0	5	1	14	1
hsa-miR-371b-3p	1	0	0	0	0	1
hsa-miR-4420	0	4	0	1	0	4
hsa-miR-4446-5p	0	1	0	0	2	1
hsa-miR-506-5p	0	3	0	0	0	4
hsa-miR-6768-5p	0	1	0	4	1	2
hsa-miR-1912	19	20	20	4	16	19
hsa-miR-92a-3p	67371	73000	54696	91738	66313	29793
hsa-miR-5689	8	8	14	11	6	14
hsa-miR-30e-3p	4411	4074	3738	2920	4101	822
hsa-miR-1973	6	8	2	0	6	4
hsa-miR-4733-5p	0	1	2	0	0	11
hsa-miR-8061	0	0	0	1	0	2
hsa-miR-4761-3p	3	4	12	10	2	2
hsa-miR-361-3p	14194	11950	11720	36207	10628	22601
hsa-miR-490-5p	28	6	4	2	4	13
hsa-miR-920	2	5	2	5	0	5
hsa-miR-6884-5p	2	6	5	1	0	6
hsa-miR-4529-3p	7	4	12	12	6	2
hsa-miR-1180-3p	247	281	234	1396	136	524
hsa-miR-6757-5p	0	5	1	5	0	1
hsa-miR-6810-3p	4	6	8	5	2	2
hsa-miR-1229-3p	7	14	0	10	3	8
hsa-miR-4662a-5p	42	42	47	12	59	2
hsa-miR-20a-5p	54887	65049	40130	51973	54458	18854
hsa-miR-556-5p	27	58	49	34	33	70
hsa-miR-610	2	0	0	5	1	4
hsa-miR-4478	13	2	12	14	8	38
hsa-miR-6722-3p	128	23	3	5	9	8
hsa-miR-4732-5p	8	6	2	13	8	11
hsa-miR-5579-5p	0	1	0	0	3	1
hsa-miR-6750-5p	5	15	2	1	5	9
hsa-miR-6500-5p	4	9	2	4	1	9
hsa-miR-6832-5p	1	1	2	3	1	0
